Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
MHTX,MANHATTAN SCIENTIFICS INC,OTCQB,0.015400,1.986800,159860,Common Stock,USA,New York
SIII,STRATEGIC INTERNET INVSTS,Pink No Information,0.011000,,0,Common Stock,United Arab Emirates,
AWSI,ARIA WIRELESS SYS INC,Pink No Information,0.008000,-17.525800,2000,Common Stock,USA,New York
HUMT,HUMATECH INC,Pink No Information,0.003500,0.000000,900,Common Stock,USA,Texas
TMOL,TRIMOL GROUP INC,Pink No Information,0.002200,,0,Common Stock,USA,New York
QPRC,QUEST PATENT RESEARCH CRP,Pink Current,0.005800,-9.375000,547348,Common Stock,USA,New York
CTBK,CITY BANK WA,Pink No Information,0.000350,-93.000000,2000,Common Stock,USA,Washington
PFTI,PURADYN FILTER TECHS INC,Pink No Information,0.007900,,0,Common Stock,USA,Florida
GWIO,GREAT WESTERN IRON ORE PP,Pink No Information,0.004000,,0,Common Stock,USA,Nevada
LFPI,LIFEPOINT INC,Pink No Information,0.003500,-12.500000,50000,Common Stock,USA,California
APGI,AMERICAN POWER GROUP CORP,Pink No Information,0.010000,,0,Common Stock,USA,Iowa
CHWE,CHINAWE.COM INC,Pink No Information,0.002700,,0,Common Stock,China,Hong Kong
QENC,QUEENCH INC,Pink No Information,0.000900,12.500000,57000,Common Stock,USA,New York
QNXC,QENEX COMMUNICATIONS INC,Pink No Information,0.006000,20.000000,11666,Common Stock,USA,Arkansas
ADNY,ADINO ENERGY CORP,Pink No Information,0.001300,-2.985100,789375,Common Stock,USA,Texas
NOUV,NOUVEAU LIFE PHARMS INC,Pink No Information,0.000100,0.000000,3406333,Common Stock,USA,Texas
IPLY,INTERPLAY ENTMT CORP,Pink No Information,0.015000,,0,Common Stock,USA,California
NLAB,NUONCOLOGY LABS INC,Pink No Information,0.013300,,0,Common Stock,USA,Florida
IBSS,INTEGRATED BUS SYS & SVCS,Pink No Information,0.006000,,0,Common Stock,USA,South Carolina
BSYI,BIOSYNTECH INC,Pink No Information,0.005900,84.375000,4400,Common Stock,Canada,Quebec
TLLEQ,TELETOUCH COMMUNS INC,Pink No Information,0.005000,,0,Common Stock,USA,Texas
BLDV,BLUE DIAMOND VENTURES INC,Pink Current,0.000200,-20.000000,5072999,Common Stock,USA,Illinois
IENT,IENTERTAINMENT NTWRK INC,Pink No Information,0.011100,,0,Common Stock,USA,North Carolina
BRTE,BRIGHTEC INC,Pink No Information,0.003000,100.000000,190000,Common Stock,USA,Massachusetts
TRBX,TRB SYSTEMS INTL INC,Pink No Information,0.001100,,0,Common Stock,USA,New Jersey
CXCQ,CARDXX INC,Pink No Information,0.007500,-6.250000,10000,Common Stock,USA,New York
CNVT,CVF TECHS CORP,Pink No Information,0.019000,,0,Common Stock,Canada,Ontario
CYBA,CANYON BANCORP (CA),Pink No Information,0.006000,,0,Common Stock,USA,California
KRFG,KING RESOURCES INC,Pink No Information,0.000300,-33.333300,2273000,Common Stock,USA,Indiana
FUTS,FUTURE SCIENCE HOLDINGS,Pink No Information,0.010000,-16.666700,68977,Common Stock,USA,New York
ITLK,INTERLINK PRODUCTS INTL,Pink No Information,0.010000,,0,Common Stock,USA,New Jersey
AWWC,ACCESS WORLDWIDE COMMUNS,Pink No Information,0.005000,,0,Common Stock,USA,Virginia
SCTN,SCHIMATIC TECHS INC,Pink No Information,0.000300,,0,Common Stock,USA,Nevada
SYHO,SYNERGIE WELLNESS PRODS,Pink No Information,0.000400,,0,Common Stock,USA,California
GNLKQ,GENELINK INC,Pink No Information,0.001250,,0,Common Stock,USA,Florida
SGRZ,STONEPATH GROUP INC,Pink No Information,0.000100,,0,Common Stock,USA,Washington
MCBP,MICHIGAN COMMUTY BNCRP,Pink No Information,0.008000,,0,Common Stock,USA,Michigan
ALIF,ARTIFICIAL LIFE INC,Pink No Information,0.007900,-1.250000,26222,Common Stock,Hong Kong,
GSFD,GLOBAL SEAFOOD TECH INC,Pink No Information,0.014100,,0,Common Stock,USA,Mississippi
XNNHQ,XENONICS HOLDINGS INC,Pink No Information,0.007100,,0,Common Stock,USA,New York
CHIF,CHINA FOOD & BEVERAGE CO,Pink No Information,0.015000,,0,Common Stock,USA,Pennsylvania
ZULU,ZULU TEK INC,Pink No Information,0.013000,0.000000,29500,Common Stock,,
OSIN,OPTIMUM SOURCE INTL LTD,Pink No Information,0.020000,,0,Common Stock,USA,Florida
ASPZ,ASIA PPTYS INC,Pink No Information,0.006300,,0,Common Stock,USA,Washington
USAM,U S AUTOMOTIVE MFG INC,Pink No Information,0.004100,,0,Common Stock,USA,Florida
PSGR,PERSHING RESOURCES CO INC,Pink No Information,0.011900,-20.666700,61550,Common Stock,USA,Nevada
KIWB,KIWIBOX.COM INC,Pink No Information,0.000400,0.000000,5000,Common Stock,USA,New York
FSNR,FREESTONE RESOURCES INC,Pink No Information,0.018800,,0,Common Stock,USA,Texas
COUV,CORPORATE UNIVERSE INC,Pink No Information,0.003600,30.909100,4209351,Common Stock,USA,Delaware
ROWC,ROWE COS,Pink No Information,0.020000,25.000000,26600,Common Stock,USA,Virginia
SEVT,SUMMIT ENVRNMNTL CORP,Pink No Information,0.000550,-8.333300,9000,Common Stock,USA,Wisconsin
NSBK,NORTHERN STAR FINCL INC,Pink No Information,0.020000,,0,Common Stock,USA,Minnesota
VCST,VIEWCAST.COM INC,Pink No Information,0.003800,,0,Common Stock,USA,Texas
TIPS,TIANRONG INTERNET PROD SV,Pink No Information,0.002400,-71.428600,10000,Common Stock,USA,Utah
EROX,HUMAN PHEROMONE SCIENCE,Pink No Information,0.020000,,0,Common Stock,USA,California
NTFL,NETWORK 1 FINANCIAL GRP,Pink No Information,0.006000,,0,Common Stock,USA,New Jersey
FIND,FINDEX.COM INC,Pink No Information,0.001700,,0,Common Stock,USA,Florida
ICTY,EYECITY.COM INC,Pink No Information,0.000400,0.000000,2623737,Common Stock,USA,Florida
IAGX,IMAGENETIX INC,Pink No Information,0.002700,,0,Common Stock,USA,California
SSOF,SIXTY SIX OILFIELD SER,Pink No Information,0.001500,25.000000,9803191,Common Stock,USA,Texas
MMTS,MULTI-MEDIA TUTORIAL SVCS,Pink No Information,0.000950,18.750000,785,Common Stock,USA,New York
THDS,3DSHOPPING.COM,Pink No Information,0.003500,45.833300,12000,Common Stock,USA,Virginia
AMMX,AMERAMEX INTL INC,OTCQB,0.009800,0.000000,744238,Common Stock,USA,California
GMPW,GIVEMEPOWER CORP,Pink No Information,0.010080,-10.000000,4000,Common Stock,USA,California
TIGE,TIGRENT INC,Pink No Information,0.008400,,0,Common Stock,USA,Florida
VNTN,VENTURENET CAP GROUP INC,Pink No Information,0.000700,,0,Common Stock,USA,Nevada
INVI,INTEGRAL VISION INC,Pink No Information,0.002500,,0,Common Stock,USA,Michigan
HIRU,HIRU CORP,Pink No Information,0.001100,-8.333300,28705550,Common Stock,USA,Ohio
FIEC,FRONTIER NATL CORP,Pink No Information,0.009000,,0,Common Stock,USA,Alabama
AIVN,AMER INTL VENTURES INC,Pink Limited,0.010000,,0,Common Stock,USA,Florida
LMGR,LIGHT MGMT GROUP INC,Pink No Information,0.001500,0.000000,100050,Common Stock,USA,Nevada
BLIAQ,BB LIQUIDATING INC A,Pink No Information,0.004500,0.000000,107609,Common Stock,USA,Texas
EFLI,CELL TECH INTL INC,Pink No Information,0.020000,,0,Common Stock,USA,Oregon
VLDI,VALIDIAN CORP,Pink No Information,0.013100,-9.342600,578097,Common Stock,Canada,Ontario
WEBB,WEB BLOCKCHAIN MEDIA,Pink No Information,0.005250,25.000000,131795,Common Stock,USA,California
NEIK,NORTHSTAR ELECTRONICS INC,Pink No Information,0.007100,1.428600,40000,Common Stock,USA,Virginia
GAHD,GLOBAL AGRICULTURAL HLDGS,Pink No Information,0.003000,,0,Common Stock,Australia,Victoria
GTLL,GLOBAL TECHS LTD,Pink Current,0.000100,0.000000,67503500,Common Stock,USA,Florida
PLWY,PEOPLESWAY.COM INC,Pink No Information,0.000500,,0,Common Stock,USA,North Carolina
SLLN,SEARCHLIGHT SOLUTIONS LTD,Pink No Information,0.000100,-50.000000,3816666,Common Stock,USA,Georgia
AABB,ASIA BROADBAND INC,Pink Current,0.004100,-2.381000,15827901,Common Stock,USA,Nevada
MYDP,DOUGHERTY'S PHARMACY INC,Pink No Information,0.009700,,0,Common Stock,USA,Texas
RAGL,RA GLOBAL SERVICES INC,Pink No Information,0.001600,,0,Common Stock,USA,Texas
ADTY,ADTEGRITY.COM INTL  INC,Pink No Information,0.010000,,0,Common Stock,USA,Michigan
RSAM,RISING SUN BNCRP MARYLAND,Pink No Information,0.002500,,0,Common Stock,USA,Maryland
VVDB,VIAVID BROADCASTING INC,Pink No Information,0.004000,,0,Common Stock,Canada,British Columbia
ADST,ADSTAR INC,Pink No Information,0.001000,-90.654200,12500,Common Stock,USA,California
SNLS,SAN LUIS TR BK FSB,Pink No Information,0.001500,,0,Common Stock,USA,California
WQNI,WQN INC,Pink No Information,0.005400,,0,Common Stock,USA,Texas
MDKM,MDECHEM INC,Pink No Information,0.008000,,0,Common Stock,USA,Texas
PUPS,PICK-UPS PLUS INC,Pink No Information,0.004900,0.000000,357844,Common Stock,USA,California
TGRO,TIGER OIL AND ENERGY INC,Pink No Information,0.000150,50.000000,81101,Common Stock,USA,Nevada
NNBP,NANOBAC PHARMS INC,Pink No Information,0.000700,0.000000,400,Common Stock,USA,Florida
GREN,GREENSMART CORP,Pink No Information,0.003000,,0,Common Stock,China,
IRNG,INTL RANGER CORP,Pink No Information,0.007000,7.692300,5000,Common Stock,Canada,British Columbia
EMDF,E MED FUTURE INC,Pink No Information,0.001300,,0,Common Stock,USA,Connecticut
ZNAE,ZANE INTERACTIVE PUBG INC,Pink No Information,0.015000,,0,Common Stock,New Zealand,
BWTX,BAKKEN WATER TRANSFER SER,Pink Current,0.016500,,0,Common Stock,USA,North Dakota
ITCJ,INFINITE TECH CORP,Pink No Information,0.000100,,0,Common Stock,USA,Texas
MMMW,MASS MEGAWATTS WIND POWER,Pink Current,0.020000,-9.090900,731797,Common Stock,USA,Massachusetts
ATIN,ATI NATIONWIDE HLDG,Pink No Information,0.002500,,0,Common Stock,USA,North Carolina
MCELQ,MILLENNIUM CELL INC,Pink No Information,0.001800,-28.000000,570,Common Stock,USA,New Jersey
GSVI,GSV INC,Pink No Information,0.016050,,0,Common Stock,USA,Connecticut
INTP,INTEGRATED PHARMS INC,Pink No Information,0.003000,,0,Common Stock,USA,Arizona
EXNT,ENXNET INC,Pink No Information,0.003100,24.000000,8550,Common Stock,USA,Oklahoma
INNI,INNOVARO INC,Pink No Information,0.003000,36.363600,100000,Common Stock,USA,Florida
IMTL,IMAGE PROTECT INC,Pink No Information,0.000200,100.000000,410000,Common Stock,USA,California
VPER,VIPER NETWORKS INC,Pink No Information,0.000100,0.000000,200000,Common Stock,USA,Michigan
RLPHQ,RAILPOWER TECHS CORP,Pink No Information,0.004200,366.666700,24944,Common Stock,Canada,British Columbia
GHST,GHOST TECHNOLOGY INC,Pink No Information,0.001600,,0,Common Stock,USA,New York
MDMN,MEDINAH MINERALS INC,Pink No Information,0.001290,-14.000000,75364,Common Stock,USA,Indiana
ALSI,ATLAS RESOURCES INTL INC,Pink No Information,0.003500,,0,Common Stock,USA,Utah
CCAJ,COASTAL CAPITAL ACQSTN CP,Pink No Information,0.000400,,0,Common Stock,USA,Florida
PURY,PURERAY CORP CO,Pink No Information,0.008000,,0,Common Stock,USA,Georgia
WTECQ,WESTECH CAPITAL CORP,Pink No Information,0.011000,,0,Common Stock,USA,Texas
EVAI,ELVA INTL INC,Pink No Information,0.015000,,0,Common Stock,France,
AVNY,MANARIS 2010 CORP,Pink No Information,0.001200,0.000000,4000,Common Stock,,
GCPL,GLOBAL CAP PTNRS INC,Pink No Information,0.005000,,0,Common Stock,,
USGA,US GLOBAL NANOSPACE INC,Pink No Information,0.000600,0.000000,400,Common Stock,USA,Nevada
VMCS,VISUALMED CLINICAL SLTNS,Pink No Information,0.002700,,0,Common Stock,USA,Nevada
RSHN,RUSHNET INC,Pink No Information,0.000200,0.000000,7822,Common Stock,USA,Colorado
SSINQ,STAGE STORES INC,Pink Current,0.018000,0.000000,160378,Common Stock,USA,Texas
SGER,STERLING ENERGY RES INC,Pink No Information,0.004100,,0,Common Stock,USA,Kansas
AHFI,ABSOLUTE HEALTH & FITNESS,Pink No Information,0.003200,,0,Common Stock,USA,Nevada
